ID	20											
Level	23											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	50	100	150	200							
SP Increase	80	80	80	80	80							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	10	1	8	2	3	15	0	0	0	20	32	0
Hit 2	10	1	56	46	3	15	0	0	0	15	32	0
Hit 3	10	1	9	3	3	65528	0	1	12	18	32	0
Hit 4	70	4	42	13	2	65531	0	11	12	18	32	0
